,location,total_sqft,bath,price,BHK,price_per_sqft_in_thousand
0,electronic city phase ii,1056.0,2.0,39.07,2,3.699810606060606
1,other,2600.0,5.0,120.0,4,4.615384615384615
2,uttarahalli,1440.0,2.0,62.0,3,4.305555555555555
3,lingadheeranahalli,1521.0,3.0,95.0,3,6.245890861275477
4,kothanur,1200.0,2.0,51.0,2,4.25
5,whitefield,1170.0,2.0,38.0,2,3.247863247863248
6,old airport road,2732.0,4.0,204.0,4,7.46705710102489
7,rajaji nagar,3300.0,4.0,600.0,4,18.181818181818183
8,marathahalli,1310.0,3.0,63.25,3,4.82824427480916
10,whitefield,1800.0,2.0,70.0,3,3.888888888888889
11,whitefield,2785.0,5.0,295.0,4,10.59245960502693
12,7th phase jp nagar,1000.0,2.0,38.0,2,3.8
13,gottigere,1100.0,2.0,40.0,2,3.6363636363636362
14,sarjapur,2250.0,3.0,148.0,3,6.5777777777777775
15,mysore road,1175.0,2.0,73.5,2,6.25531914893617
16,bisuvanahalli,1180.0,3.0,48.0,3,4.067796610169491
17,raja rajeshwari nagar,1540.0,3.0,60.0,3,3.896103896103896
18,other,2770.0,4.0,290.0,3,10.469314079422382
19,other,1100.0,2.0,48.0,2,4.363636363636363
20,kengeri,600.0,1.0,15.0,1,2.5
21,binny pete,1755.0,3.0,122.0,3,6.951566951566951
22,thanisandra,2800.0,5.0,380.0,4,13.571428571428571
23,bellandur,1767.0,3.0,103.0,3,5.829088851160159
24,thanisandra,510.0,1.0,25.25,1,4.950980392156863
25,other,1250.0,3.0,56.0,3,4.48
26,electronic city,660.0,1.0,23.1,2,3.5
27,whitefield,1610.0,3.0,81.0,3,5.031055900621118
28,ramagondanahalli,1151.0,2.0,48.77,2,4.237185056472632
29,electronic city,1025.0,2.0,47.0,3,4.585365853658536
30,yelahanka,2475.0,4.0,186.0,4,7.515151515151516
31,bisuvanahalli,1075.0,2.0,35.0,3,3.255813953488372
32,hebbal,1760.0,2.0,123.0,3,6.988636363636363
33,raja rajeshwari nagar,1693.0,3.0,57.39,3,3.38984051978736
34,other,1925.0,3.0,125.0,3,6.4935064935064934
35,kanakpura road,700.0,2.0,36.0,2,5.142857142857143
36,electronics city phase 1,1070.0,2.0,45.5,2,4.252336448598131
37,kundalahalli,1724.0,3.0,125.0,3,7.250580046403712
38,chikkalasandra,1290.0,2.0,56.12,3,4.350387596899225
39,uttarahalli,1143.0,2.0,45.0,2,3.937007874015748
40,other,1296.0,2.0,81.0,2,6.25
41,sarjapur road,1254.0,3.0,38.0,3,3.0303030303030303
42,other,600.0,1.0,38.0,1,6.333333333333333
43,yelahanka,660.0,1.0,48.0,1,7.2727272727272725
44,kanakpura road,1330.74,2.0,91.79,2,6.89766596029277
46,doddathoguru,970.0,2.0,33.0,2,3.402061855670103
47,whitefield,1459.0,2.0,94.82,2,6.498971898560658
48,kr puram,800.0,1.0,130.0,2,16.25
49,other,869.0,2.0,36.0,2,4.142692750287687
50,other,1270.0,2.0,50.0,2,3.937007874015748
51,bhoganhalli,1670.0,3.0,99.0,3,5.92814371257485
52,whitefield,2010.0,3.0,91.0,3,4.527363184079602
53,lakshminarayana pura,1185.0,2.0,75.0,2,6.329113924050633
54,yelahanka,1600.0,2.0,75.0,3,4.6875
55,begur road,1200.0,2.0,44.0,2,3.6666666666666665
56,devanahalli,3210.0,2.0,192.0,4,5.981308411214953
57,other,1500.0,2.0,185.0,2,12.333333333333334
58,other,1407.0,4.0,150.0,6,10.660980810234541
59,other,840.0,2.0,45.0,2,5.357142857142857
60,other,4395.0,3.0,240.0,3,5.460750853242321
61,other,845.0,2.0,55.0,2,6.508875739644971
62,whitefield,5700.0,5.0,650.0,4,11.403508771929825
63,varthur,1160.0,2.0,44.0,2,3.793103448275862
64,bommanahalli,3000.0,8.0,140.0,8,4.666666666666667
65,doddathoguru,1100.0,2.0,62.0,2,5.636363636363637
66,gunjur,1140.0,2.0,43.0,2,3.7719298245614037
67,marathahalli,1220.0,2.0,57.0,2,4.672131147540983
68,other,1350.0,7.0,85.0,8,6.296296296296297
69,kanakpura road,1005.0,2.0,36.68,2,3.6497512437810946
70,other,500.0,3.0,100.0,3,20.0
71,begur road,1358.0,2.0,80.58,2,5.9337260677466865
72,hegde nagar,1569.0,3.0,101.0,3,6.437221159974506
73,haralur road,1240.0,2.0,70.0,2,5.645161290322581
74,hennur road,2089.0,3.0,140.0,3,6.701771182383916
75,kothannur,1206.0,2.0,48.23,2,3.9991708126036483
76,kalena agrahara,1150.0,2.0,40.0,2,3.4782608695652173
77,other,2511.0,3.0,205.0,3,8.164078056551174
78,kaval byrasandra,460.0,1.0,22.0,2,4.782608695652174
